queryNo|tables|conditions|subqueries|joins|paths|functions|total columns|used columns|query
157|1|2|0|0|5|0|21|2|SELECT inbound_email.* FROM inbound_email  WHERE group_id = '' AND deleted=0 LIMIT 0,1
158|1|2|0|0|4|0|32|2|SELECT project_task.* FROM project_task  WHERE project_task.id = 'b73ad8f7-7e94-2e67-2afc-589c85f52879' AND project_task.deleted=0 LIMIT 0,1
159|1|2|0|0|5|0|28|2|SELECT id FROM calls WHERE repeat_parent_id = 'c94a263b-747b-d4f1-f2f5-589c85af76fe' AND deleted = 0 ORDER BY date_start
160|2|5|1|0|13|0|61|14|SELECT aos_quotes.id AS id FROM aos_quotes  WHERE NOT EXISTS (SELECT * FROM aow_processed WHERE aow_processed.aow_workflow_id='' AND aow_processed.parent_id=aos_quotes.id AND aow_processed.status = 'Complete' AND aow_processed.deleted = 0) AND aos_quotes.deleted = 0 
161|1|3|0|0|7|0|6|3|SELECT * FROM prospect_lists_prospects WHERE deleted = '0'   AND related_id = '2'  AND prospect_list_id = '1a06a34d-9a05-c9dc-5a8b-589c85760304' 
162|1|2|0|0|5|0|5|2|SELECT contact_id id FROM contacts_users  WHERE contacts_users.user_id = '' AND contacts_users.deleted=0
163|1|3|0|0|7|0|7|3|SELECT email_id id FROM emails_beans  WHERE emails_beans.bean_id = 'b5053637-72bf-2991-1f1f-589c85d9d496' AND emails_beans.bean_module = 'AOS_Contracts' AND emails_beans.deleted=0
164|1|3|0|0|9|0|23|3|SELECT id FROM aor_fields WHERE aor_report_id = '' AND group_display = 1 AND deleted = 0 ORDER BY field_order ASC LIMIT 0,1
165|1|2|0|0|5|0|16|2|SELECT id FROM notes WHERE notes.created_by = '' AND notes.deleted=0
166|1|2|0|0|4|0|19|2|SELECT job_queue.* FROM job_queue  WHERE job_queue.id = '66c88bff-987b-ad1c-5f53-589c8507856c' AND job_queue.deleted=0 LIMIT 0,1
167|1|3|0|0|7|0|5|3|SELECT * FROM roles_users WHERE deleted = '0'   AND user_id = '2'  AND role_id = '1' 
168|1|2|0|0|4|0|39|2|SELECT users.* FROM users  WHERE users.id = 'cec00d21-5ea1-f407-be72-589c7d71586a' AND users.deleted=0 LIMIT 0,1
169|1|4|0|0|8|0|7|3|SELECT calls_users.required, calls_users.accept_status, calls_users.call_id from calls_users where calls_users.user_id='' AND ( calls_users.accept_status IS NULL OR  calls_users.accept_status='none') AND calls_users.deleted=0
170|1|3|0|0|7|0|16|3|SELECT id FROM notes WHERE notes.parent_id = '' AND notes.deleted=0 AND notes.parent_type = 'Accounts'
171|1|2|0|0|5|0|18|2|SELECT id FROM eapm WHERE eapm.assigned_user_id = '' AND eapm.deleted=0
172|1|2|0|0|5|0|12|2|SELECT id FROM aow_actions WHERE aow_workflow_id = '1' AND deleted = 0 ORDER BY action_order ASC
173|1|3|0|0|7|0|39|3|SELECT users.id, users.user_name, users.first_name, users.last_name FROM users WHERE deleted=0 AND status = 'Active' AND is_group=0 ORDER BY users.last_name, users.first_name
174|2|3|0|1|6|0|41|3|SELECT meetings.*,meetings_cstm.* FROM meetings  LEFT JOIN meetings_cstm ON meetings.id = meetings_cstm.id_c  WHERE meetings.id = 'cce0654f-a2d9-da15-68a8-589c8458adac' AND meetings.deleted=0 LIMIT 0,1
175|1|2|0|0|4|0|39|2|SELECT first_name, last_name FROM contacts WHERE id='1' AND deleted=0 LIMIT 0,1
176|3|5|0|2|10|0|29|6|SELECT opportunities.*, opportunities_cstm.* FROM opportunities LEFT JOIN opportunities_cstm ON opportunities.id = opportunities_cstm.id_c  LEFT JOIN projects_opportunities ON opportunities.id = projects_opportunities.opportunity_id AND projects_opportunities.deleted = 0  WHERE opportunities.deleted = 0 AND projects_opportunities.project_id = '1' LIMIT 0,1
177|1|2|0|0|5|0|7|2|SELECT contact_id as id from calls_contacts where call_id='1' AND deleted=0
178|1|2|0|0|5|0|6|2|SELECT documents_id id FROM aos_contracts_documents  WHERE aos_contracts_documents.aos_contracts_id = 'b5053637-72bf-2991-1f1f-589c85d9d496' AND aos_contracts_documents.deleted=0
179|1|2|0|0|5|0|11|2|SELECT id FROM aos_product_categories WHERE aos_product_categories.parent_category_id = '1c378ecd-b7a5-090b-22f2-589c85e94f55' AND aos_product_categories.deleted=0
180|1|2|0|0|5|1|3|2|SELECT count(*) AS the_count FROM config WHERE category = 'sugarfeed' AND name = 'module_Accounts'
181|2|5|0|1|10|1|28|4|SELECT count(*) c FROM emails   JOIN emails_text on emails.id = emails_text.email_id   WHERE (emails.type= 'inbound' OR emails.type='archived' OR emails.type='out') AND emails.deleted = 0 
182|1|1|0|0|2|0|11|1|SELECT tracker_url from campaign_trkrs where id='1'
183|2|3|0|1|6|0|38|3|SELECT accounts.id, accounts_cstm.id_c FROM accounts  LEFT JOIN accounts_cstm ON accounts.id = accounts_cstm.id_c  WHERE accounts.deleted = 0 AND accounts.id = '1'
184|2|4|0|1|10|0|47|4|SELECT users.* from users_signatures,users  WHERE  users_signatures.user_id=users.id AND users_signatures.user_id='1' AND users.deleted=0 AND users_signatures.deleted=0
185|1|2|0|0|5|0|5|2|SELECT document_id id FROM documents_cases  WHERE documents_cases.case_id = '610b3ee0-80df-4b8f-54d1-589c8545f8c6' AND documents_cases.deleted=0
186|1|0|0|0|0|0|3|0|SELECT category, name, value FROM config
187|1|2|0|0|5|0|5|2|SELECT aos_quotes6b83nvoices_idb id FROM aos_quotes_aos_invoices_c  WHERE aos_quotes_aos_invoices_c.aos_quotes77d9_quotes_ida = '621d577d-e027-d13e-f0fe-589c85da3bce' AND aos_quotes_aos_invoices_c.deleted=0
188|1|3|0|0|6|1|16|3|SELECT COUNT(*) AS count FROM campaign_log WHERE campaign_id = '' AND target_id IS NULL AND activity_type = 'lead' LIMIT 0,1
189|1|2|0|0|5|0|5|2|SELECT aos_quotes7207project_idb id FROM aos_quotes_project_c  WHERE aos_quotes_project_c.aos_quotes1112_quotes_ida = '621d577d-e027-d13e-f0fe-589c85da3bce' AND aos_quotes_project_c.deleted=0
190|1|3|0|0|7|0|11|3|SELECT distinct item_id AS item_id, id, item_summary, module_name, monitor_id, date_modified FROM tracker WHERE user_id = '1' AND deleted = 0 AND visible = 1  ORDER BY date_modified DESC LIMIT 0,50
191|1|3|0|1|7|0|39|3|SELECT u1.first_name, u1.last_name from users u1, users u2 where u1.id = u2.reports_to_id AND u2.id = '1' and u1.deleted=0
192|1|1|0|0|3|0|16|1|SELECT * from relationships where deleted=0
193|1|4|0|0|8|0|39|4|SELECT id FROM users WHERE id = '1' AND is_admin = 1 AND deleted = 0 AND status = 'Active' LIMIT 0,1
194|1|3|0|0|7|0|11|3|SELECT parent_id, parent_type FROM favorites WHERE assigned_user_id = '' AND parent_id = '1' AND deleted = 0 ORDER BY date_entered DESC
195|1|2|0|0|5|0|23|2|SELECT id FROM aor_fields WHERE aor_report_id = '' AND deleted = 0 ORDER BY field_order ASC
196|1|1|0|0|2|0|33|1|SELECT name  , assigned_user_id parent_name_owner  from accounts where id = '1'
197|1|2|0|0|5|0|5|2|SELECT user_id as id FROM roles_users WHERE role_id='1' AND deleted=0
198|1|2|0|0|5|0|16|2|SELECT id, file_mime_type FROM notes WHERE parent_id = '' AND deleted = 0
199|1|2|0|0|5|0|5|2|SELECT aos_quotes4dc0ntracts_idb id FROM aos_quotes_os_contracts_c  WHERE aos_quotes_os_contracts_c.aos_quotese81e_quotes_ida = '621d577d-e027-d13e-f0fe-589c85da3bce' AND aos_quotes_os_contracts_c.deleted=0
200|1|2|0|0|4|0|25|2|SELECT aos_line_item_groups.* FROM aos_line_item_groups  WHERE aos_line_item_groups.id = '1228c4a9-614c-31e7-7542-589c85451f14' AND aos_line_item_groups.deleted=0 LIMIT 0,1
201|1|2|0|0|8|5|39|2|SELECT id ,LTRIM(RTRIM(CONCAT(IFNULL(contacts.first_name,''),' ',IFNULL(contacts.last_name,'')))) as parent_name ,contacts.first_name as parent_first_name ,contacts.last_name as parent_last_name , contacts.assigned_user_id owner FROM contacts WHERE deleted=0 AND id='1'
202|1|2|0|0|5|0|7|2|SELECT user_id id FROM calls_users  WHERE calls_users.call_id = '1' AND calls_users.deleted=0
203|1|3|0|0|7|0|6|3|SELECT * FROM acl_roles_actions WHERE deleted = '0'   AND role_id = '1'  AND action_id = '1' 
204|1|2|0|0|4|0|14|2|SELECT document_revisions.* FROM document_revisions  WHERE document_revisions.id = '3c9f3299-3069-8feb-4a9c-589c85a22713' AND document_revisions.deleted=0 LIMIT 0,1
205|1|3|0|0|7|0|3|3|SELECT * FROM oauth_nonce WHERE conskey='' AND nonce='' AND nonce_ts = 123
206|1|2|0|0|5|0|5|2|SELECT am_projecttemplates_ida id FROM am_projecttemplates_users_1_c  WHERE am_projecttemplates_users_1_c.users_idb = 'd9c07713-989b-ccdc-2cad-589c8529ef35' AND am_projecttemplates_users_1_c.deleted=0
207|2|4|0|1|9|0|41|5|SELECT meetings.id, meetings_cstm.id_c FROM meetings  LEFT JOIN meetings_cstm ON meetings.id = meetings_cstm.id_c  WHERE meetings.deleted = 0 AND  meetings.parent_type = 'Accounts' AND  meetings.parent_id = '1'
208|1|2|0|0|5|0|6|2|SELECT role_id id FROM acl_roles_actions  WHERE acl_roles_actions.action_id = '' AND acl_roles_actions.deleted=0
209|3|5|0|2|10|0|43|6|SELECT accounts.*, accounts_cstm.* FROM accounts LEFT JOIN accounts_cstm ON accounts.id = accounts_cstm.id_c  LEFT JOIN projects_accounts ON accounts.id = projects_accounts.account_id AND projects_accounts.deleted = 0  WHERE accounts.deleted = 0 AND projects_accounts.project_id = '1' LIMIT 0,1
210|1|2|0|0|5|0|39|2|SELECT id, first_name, last_name, user_name from users WHERE status='Inactive' AND portal_only=0  ORDER BY  user_name ASC 
211|2|5|0|1|12|0|16|6|SELECT name from prospect_lists  INNER JOIN email_marketing_prospect_lists empl ON empl.prospect_list_id = prospect_lists.id WHERE empl.email_marketing_id='' AND prospect_lists.deleted=0 AND empl.deleted=0 AND prospect_lists.list_type!='test'
212|1|3|0|0|7|0|18|3|SELECT id FROM tasks WHERE tasks.parent_id = 'b73ad8f7-7e94-2e67-2afc-589c85f52879' AND tasks.deleted=0 AND tasks.parent_type = 'ProjectTask'
213|1|2|0|0|5|0|10|2|select id from currencies where name='US Dollars' and deleted=0;
214|1|3|0|0|7|0|7|3|SELECT user_preferences.* FROM user_preferences  WHERE assigned_user_id = '1' AND category = 'home' AND deleted=0 LIMIT 0,1
215|1|3|0|0|7|0|6|3|SELECT prospect_list_id id FROM prospect_lists_prospects  WHERE prospect_lists_prospects.related_id = 'd9c07713-989b-ccdc-2cad-589c8529ef35' AND prospect_lists_prospects.related_type = 'Users' AND prospect_lists_prospects.deleted=0
216|1|6|0|0|12|0|14|4|SELECT id FROM aow_workflow WHERE aow_workflow.flow_module = 'EAPM' AND aow_workflow.status = 'Active' AND (aow_workflow.run_when = 'Always' OR aow_workflow.run_when = 'On_Save' OR aow_workflow.run_when = 'Create') AND aow_workflow.deleted = 0 
217|3|5|0|2|10|0|43|6|SELECT accounts.*, accounts_cstm.* FROM accounts LEFT JOIN accounts_cstm ON accounts.id = accounts_cstm.id_c  LEFT JOIN accounts_cases ON accounts.id = accounts_cases.account_id AND accounts_cases.deleted = 0  WHERE accounts.deleted = 0 AND accounts_cases.case_id = '1' LIMIT 0,1
218|1|2|0|0|4|0|18|2|SELECT id ,emails.name as parent_name , emails.assigned_user_id owner FROM emails WHERE deleted=0 AND id='1'
219|1|2|0|0|5|0|7|2|SELECT meeting_id as id from meetings_users where user_id='' AND deleted=0
220|1|1|0|0|2|0|5|1|SELECT * FROM meetings_cstm WHERE id_c='1'
221|1|2|0|0|5|1|5|2|SELECT count(*) AS num FROM roles_users WHERE user_id='2' AND deleted=0
222|1|2|0|0|5|0|10|2|SELECT id FROM currencies WHERE symbol='\$' AND deleted=0;
223|1|2|0|0|5|0|8|2|SELECT * FROM email_addresses WHERE email_address_caps = 'ONE@EMAIL.COM' and deleted=0
224|1|2|0|0|4|0|28|2|SELECT id ,calls.name as parent_name , calls.assigned_user_id owner FROM calls WHERE deleted=0 AND id='1'
225|1|2|0|0|4|0|39|2|SELECT users.* FROM users  WHERE users.id = '42494856-4357-0ff9-d7a8-58974c4b55f8' AND users.deleted=0 LIMIT 0,1
226|1|2|0|0|5|0|21|2|SELECT * FROM fields_meta_data WHERE  custom_module='Reminders_Invitees' AND  deleted = 0
227|1|2|0|0|5|0|8|2|SELECT * FROM users_signatures WHERE user_id = '1' AND deleted = 0 ORDER BY name ASC
228|1|2|0|0|5|0|16|2|select 1 from notes where notes.parent_id = '' and notes.deleted = 0
229|2|8|0|1|19|0|38|6|SELECT accounts.*, accounts_cstm.* FROM accounts LEFT JOIN accounts_cstm  ON accounts.id = accounts_cstm.id_c  WHERE accounts.deleted = 0 AND ((accounts_cstm.jjwg_maps_lat_c = 0 AND accounts_cstm.jjwg_maps_lng_c = 0) OR (accounts_cstm.jjwg_maps_lat_c IS NULL AND accounts_cstm.jjwg_maps_lng_c IS NULL)) AND (accounts_cstm.jjwg_maps_geocode_status_c = '' OR accounts_cstm.jjwg_maps_geocode_status_c IS NULL) LIMIT 0,250
230|1|2|0|0|4|0|18|2|SELECT emails.* FROM emails  WHERE emails.id = 'b3cd04d9-5080-4707-0979-589c859a71d7' AND emails.deleted=0 LIMIT 0,1
231|1|2|0|0|5|0|5|2|SELECT aos_quotese81e_quotes_ida id FROM aos_quotes_os_contracts_c  WHERE aos_quotes_os_contracts_c.aos_quotes4dc0ntracts_idb = 'b5053637-72bf-2991-1f1f-589c85d9d496' AND aos_quotes_os_contracts_c.deleted=0
232|1|2|0|0|5|1|6|2|SELECT count(*) AS num FROM prospect_lists_prospects WHERE prospect_list_id='1a06a34d-9a05-c9dc-5a8b-589c85760304' AND deleted = '0'
233|1|2|0|0|5|0|14|2|select id, revision from document_revisions where document_id='1' and deleted=0
234|1|4|0|0|9|0|6|4|SELECT * FROM roles_modules WHERE deleted = '0'   AND module_id = 'Leads'  AND role_id = '1'  AND allow = '1' 
235|1|2|0|0|4|0|23|2|SELECT aor_fields.* FROM aor_fields  WHERE aor_fields.id = '2ef079b5-3a34-0c5b-f390-589c855efae6' AND aor_fields.deleted=0 LIMIT 0,1
236|1|2|0|0|5|0|7|2|SELECT lead_id id FROM meetings_leads  WHERE meetings_leads.meeting_id = '259c2f1b-922d-ab63-b5d9-589c85cea2d8' AND meetings_leads.deleted=0
237|1|2|0|0|5|0|5|2|SELECT document_id id FROM documents_bugs  WHERE documents_bugs.bug_id = '58800532-0e9d-ccaf-e85e-589c85722403' AND documents_bugs.deleted=0
238|1|1|0|0|2|0|19|1|SELECT name, assigned_user_id opportunity_name_owner FROM opportunities WHERE id='1' LIMIT 0,1
239|1|1|0|0|3|0|15|1|SELECT email_templates.id, name as display from email_templates where  email_templates.deleted=0
240|1|2|0|0|4|0|10|2|SELECT aop_case_events.* FROM aop_case_events  WHERE aop_case_events.id = '671d1ad2-0d3d-f611-27df-589c8502ff44' AND aop_case_events.deleted=0 LIMIT 0,1
241|1|2|0|0|5|0|6|2|SELECT aow_action_id id FROM aow_processed_aow_actions  WHERE aow_processed_aow_actions.aow_processed_id = 'd7abea92-7cf3-ca25-d70d-589c8552ead4' AND aow_processed_aow_actions.deleted=0
242|1|1|0|0|2|0|18|1|SELECT id FROM outbound_email WHERE user_id = '' 
243|1|3|0|0|7|0|10|3|SELECT * FROM acl_actions WHERE deleted=0  AND acltype='module'AND name='list' ORDER BY category
244|1|2|0|0|5|0|16|2|SELECT id FROM notes WHERE notes.modified_user_id = '' AND notes.deleted=0
245|1|2|0|0|5|0|36|2|SELECT id FROM meetings WHERE meetings.parent_id = 'e3c8ca08-e16d-d18b-80c8-589c85b8ac4d' AND meetings.deleted=0
246|1|2|0|0|5|0|11|2|SELECT jjwg_address_cache.* FROM jjwg_address_cache WHERE jjwg_address_cache.deleted = 0 AND jjwg_address_cache.name='test' LIMIT 0,1
247|1|1|0|0|2|0|18|1|SELECT emails.* FROM emails  WHERE emails.id = '0' LIMIT 0,1
248|1|2|0|0|5|0|4|2|SELECT id FROM cron_remove_documents WHERE module='' AND bean_id='' LIMIT 0,1
249|1|2|0|0|8|5|39|2|SELECT id ,LTRIM(RTRIM(CONCAT(IFNULL(contacts.first_name,''),' ',IFNULL(contacts.last_name,'')))) as contact_name , contacts.assigned_user_id owner FROM contacts WHERE deleted=0 AND id='test id'
250|1|2|0|0|6|0|3|2|SELECT * FROM oauth_nonce WHERE conskey='' AND nonce_ts > 123
251|1|2|0|0|3|0|9|2|SELECT oauth_tokens.* FROM oauth_tokens  WHERE oauth_tokens.id = '15e4eabf13e5' AND oauth_tokens.deleted=0 LIMIT 0,1
252|1|1|0|0|3|0|39|0|SELECT id, first_name, last_name, user_name FROM users WHERE 1=1 ORDER BY  user_name ASC 
253|1|2|0|0|4|0|49|2|SELECT aos_quotes.* FROM aos_quotes  WHERE aos_quotes.id = '1' AND aos_quotes.deleted=0 LIMIT 0,1
254|1|3|0|0|6|0|9|3|select email_address_id from email_addr_bean_rel eabr WHERE eabr.bean_id = 'd9c07713-989b-ccdc-2cad-589c8529ef35' AND eabr.bean_module = 'Users' and eabr.deleted=0
255|1|4|0|0|8|0|8|4|SELECT vcals.* FROM vcals  WHERE user_id = '1' AND type = 'vfb' AND source = 'sugar' AND deleted=0 LIMIT 0,1
256|1|3|0|0|7|0|7|3|SELECT * FROM calls_users WHERE deleted = '0'   AND user_id = '1'  AND call_id = '1' 
257|1|2|0|0|5|0|7|2|SELECT contact_id id FROM calls_contacts  WHERE calls_contacts.call_id = 'c94a263b-747b-d4f1-f2f5-589c85af76fe' AND calls_contacts.deleted=0
258|1|2|0|0|5|0|39|2|SELECT id FROM users WHERE users.reports_to_id = 'd9c07713-989b-ccdc-2cad-589c8529ef35' AND users.deleted=0
259|1|2|0|0|4|0|8|2|SELECT vcals.* FROM vcals  WHERE vcals.id = '46e004b7-ac49-a870-1a0f-589c81f8df4a' AND vcals.deleted=0 LIMIT 0,1
260|1|1|0|0|2|0|37|1|SELECT first_name, last_name from prospects where id='1'
261|2|4|0|1|10|0|38|5|SELECT acc.id, acc.name, acc.assigned_user_id FROM accounts acc, accounts_opportunities a_o WHERE acc.id=a_o.account_id AND a_o.opportunity_id='1' AND a_o.deleted=0 AND acc.deleted=0
262|1|2|0|0|5|0|16|2|SELECT id FROM notes WHERE notes.assigned_user_id = '' AND notes.deleted=0
263|1|3|0|0|7|0|28|3|SELECT id FROM calls WHERE calls.parent_id = '58800532-0e9d-ccaf-e85e-589c85722403' AND calls.deleted=0 AND calls.parent_type = 'Bugs'
264|1|2|0|0|5|0|39|2|SELECT id FROM users WHERE users.is_group = 1 AND deleted = 0
265|1|1|0|0|3|0|11|1|SELECT id, name, list_type FROM prospect_lists WHERE deleted = 0 ORDER BY name ASC
266|1|2|0|0|5|0|5|2|SELECT bug_id id FROM cases_bugs  WHERE cases_bugs.case_id = '610b3ee0-80df-4b8f-54d1-589c8545f8c6' AND cases_bugs.deleted=0
267|1|2|0|0|4|0|22|2|select document_name from documents where id='1'  and deleted=0
268|1|3|0|0|7|0|7|3|SELECT id FROM securitygroups_users WHERE user_id = '1' AND securitygroup_id = '1' AND deleted=0 LIMIT 0,1
269|1|2|0|0|4|0|8|2|SELECT id, email_address, invalid_email, opt_out FROM email_addresses WHERE id IN ('b0800029-cc5f-8c5d-a47c-589c844a69d8', 'b10d3d59-ab27-3b26-13ee-589c84de0d8e') AND deleted=0
270|1|5|0|0|10|0|19|3|select amount, id from opportunities where (currency_id='GBP' or currency_id='EUR') and deleted=0 and opportunities.sales_stage <> 'Closed Won' AND opportunities.sales_stage <> 'Closed Lost';
271|1|2|0|0|5|0|5|2|SELECT project_id id FROM projects_bugs  WHERE projects_bugs.bug_id = '58800532-0e9d-ccaf-e85e-589c85722403' AND projects_bugs.deleted=0
272|1|2|0|0|5|0|10|2|SELECT id, name, symbol, conversion_rate FROM currencies WHERE status = 'Active' and deleted = 0
273|1|3|0|0|7|0|12|3|SELECT aow_processed.* FROM aow_processed  WHERE aow_workflow_id = '' AND parent_id = '' AND deleted=0 LIMIT 0,1
274|1|2|0|0|5|0|16|2|SELECT relationship_name FROM relationships WHERE deleted=0 AND relationship_name = 'test_test'
275|2|9|0|1|22|0|43|8|SELECT meetings.* from meetings_users,meetings  WHERE ((meetings.date_start >= '2016-08-09 15:06:04' AND meetings.date_start < '2017-08-09 15:06:04') OR (meetings.date_start < '2016-08-09 15:06:04' AND meetings.date_end > '2016-08-09 15:06:04') AND meetings_users.accept_status != 'decline') AND  meetings_users.meeting_id=meetings.id AND meetings_users.user_id='' AND meetings.deleted=0 AND meetings_users.deleted=0
276|1|2|0|0|5|0|12|2|SELECT id FROM aop_case_updates WHERE aop_case_updates.case_id = '610b3ee0-80df-4b8f-54d1-589c8545f8c6' AND aop_case_updates.deleted=0
277|1|2|0|0|5|0|18|2|SELECT id FROM aor_conditions WHERE aor_report_id = '1' AND deleted = 0 ORDER BY condition_order ASC
278|1|1|0|0|3|0|10|1|SELECT id, name FROM securitygroups WHERE securitygroups.deleted = 0 ORDER BY name
279|1|2|0|0|4|0|8|2|SELECT acl_roles.* FROM acl_roles  WHERE acl_roles.id = '1' AND acl_roles.deleted=0 LIMIT 0,1
280|1|1|0|0|2|0|18|1|SELECT * FROM outbound_email WHERE id = 'def51767-c847-792d-ee8f-589748efcb71'
